source,target,context
References,Referencias,
Transcript URL,URL de Transcripción,
Max Capacity must be greater than 0,La Capacidad Máxima debe ser mayor que 0,
Date From must be before or equal to Date To,La Fecha Desde debe ser anterior o igual a la Fecha Hasta,
Time From must be before Time To when dates are the same,La Hora Desde debe ser anterior a la Hora Hasta cuando las fechas son iguales,
Selected slot does not belong to the selected experience.,El espacio seleccionado no pertenece a la experiencia seleccionada.,
Invalid status transition from {0} to {1}. Allowed transitions: {2},Transición de estado inválida de {0} a {1}. Transiciones permitidas: {2},
Party size ({0}) exceeds available capacity ({1}) for slot {2},El tamaño del grupo ({0}) excede la capacidad disponible ({1}) para el espacio {2},
Only PENDING tickets can be confirmed,Solo los boletos PENDIENTES pueden ser confirmados,
Only PENDING tickets can be rejected,Solo los boletos PENDIENTES pueden ser rechazados,
Only CONFIRMED tickets can be cancelled,Solo los boletos CONFIRMADOS pueden ser cancelados,
Only CONFIRMED tickets can be checked in,Solo los boletos CONFIRMADOS pueden ser registrados,
Only CHECKED_IN tickets can be completed,Solo los boletos REGISTRADOS pueden ser completados,
Your reservation for {experience_name} on {date} at {time} has been confirmed. Party size: {party_size}. Reservation ID: {ticket_id},Su reserva para {experience_name} el {date} a las {time} ha sido confirmada. Tamaño del grupo: {party_size}. ID de Reserva: {ticket_id},
Unfortunately, your reservation for {experience_name} on {date} at {time} could not be confirmed. Please contact us for alternative options. Reservation ID: {ticket_id},Desafortunadamente, su reserva para {experience_name} el {date} a las {time} no pudo ser confirmada. Por favor contáctenos para opciones alternativas. ID de Reserva: {ticket_id},
Your pending reservation for {experience_name} on {date} at {time} has expired. If you still wish to book, please create a new reservation. Reservation ID: {ticket_id},Su reserva pendiente para {experience_name} el {date} a las {time} ha expirado. Si aún desea reservar, por favor cree una nueva reserva. ID de Reserva: {ticket_id},
Your QR code for {experience_name} on {date} at {time} is ready. Please present this QR code at check-in. Reservation ID: {ticket_id},Su código QR para {experience_name} el {date} a las {time} está listo. Por favor presente este código QR en el registro. ID de Reserva: {ticket_id},
Reminder: A deposit of {amount} is due for your reservation {ticket_id} by {due_date}. Please complete payment to confirm your booking.,Recordatorio: Un depósito de {amount} vence para su reserva {ticket_id} antes del {due_date}. Por favor complete el pago para confirmar su reserva.,
Notification about your reservation {ticket_id},Notificación sobre su reserva {ticket_id},
Quotation created successfully,Cotización creada exitosamente,
Quotation details retrieved successfully,Detalles de cotización recuperados exitosamente,
Quotation status updated successfully,Estado de cotización actualizado exitosamente,
Quotation has expired,La cotización ha expirado,
Quotation has no associated lead,La cotización no tiene un prospecto asociado,
Quotation accepted and converted to reservation,Cotización aceptada y convertida en reserva,
Quotations retrieved successfully,Cotizaciones recuperadas exitosamente,
Quotation availability validated successfully,Disponibilidad de cotización validada exitosamente,
Some experiences are no longer available,Algunas experiencias ya no están disponibles,
Either Phone or Email must be provided,Debe proporcionarse Teléfono o Correo Electrónico,
Contact with this phone or email already exists: {0},Ya existe un contacto con este teléfono o correo electrónico: {0},
Invalid opt_in_status. Must be OPT_IN or OPT_OUT,Estado de opt_in inválido. Debe ser OPT_IN o OPT_OUT,
Experience {0} does not exist,La Experiencia {0} no existe,
Route {0} does not exist,La Ruta {0} no existe,
Company {0} does not exist,La Empresa {0} no existe,
Link documents must start with http:// or https://,Los documentos de enlace deben comenzar con http:// o https://,
File URL is required for {0} documents,Se requiere URL de archivo para documentos {0},
Validity date cannot be in the past,La fecha de validez no puede estar en el pasado,
Route {0} already has an active bank account,La Ruta {0} ya tiene una cuenta bancaria activa,
Invalid IBAN format. IBAN should be in format: CC00XXXX... (2 letters, 2 digits, 4-30 alphanumeric),Formato IBAN inválido. El IBAN debe tener el formato: CC00XXXX... (2 letras, 2 dígitos, 4-30 alfanuméricos),
Amount Paid cannot be negative,El Monto Pagado no puede ser negativo,
Amount Required must be greater than 0,El Monto Requerido debe ser mayor que 0,
Cannot record payment for {0} deposit,No se puede registrar el pago para el depósito {0},
Invalid OCR payload JSON format,Formato JSON de carga útil OCR inválido,
OCR payload missing required field: {0},Falta el campo requerido en la carga útil OCR: {0},
OCR amount ({0}) does not match payment amount ({1}),El monto OCR ({0}) no coincide con el monto del pago ({1}),
OCR date cannot be in the future,La fecha OCR no puede estar en el futuro,
Invalid date format in OCR payload,Formato de fecha inválido en la carga útil OCR,
No OCR payload available for reconciliation,No hay carga útil OCR disponible para la reconciliación,
OCR account ({0}) does not match expected account ({1}),La cuenta OCR ({0}) no coincide con la cuenta esperada ({1}),
OCR amount ({0}) does not match required amount ({1}),El monto OCR ({0}) no coincide con el monto requerido ({1}),
Payment reconciled successfully,Pago reconciliado exitosamente,
Contact {0} does not exist,El Contacto {0} no existe,
Success,Éxito,
Resource created successfully,Recurso creado exitosamente,
not found,no encontrado,
Unauthorized access,Acceso no autorizado,
Forbidden,Prohibido,
Validation error,Error de validación,
Failed to create quotation,Error al crear cotización,
Failed to get quotation details,Error al obtener detalles de cotización,
Failed to update quotation status,Error al actualizar estado de cotización,
Failed to accept quotation,Error al aceptar cotización,
Failed to list quotations,Error al listar cotizaciones,
Failed to validate quotation availability,Error al validar disponibilidad de cotización,
Sequence,Secuencia,
Google Maps Link,Enlace de Google Maps,
Document Information,Información del Documento,
Entity Type,Tipo de Entidad,
Entity,Entidad,
Title,Título,
Document Type,Tipo de Documento,
PDF,PDF,
Image,Imagen,
Link,Enlace,
File URL / Link,URL del Archivo / Enlace,
PUBLISHED,PUBLICADO,
Metadata,Metadatos,
Tags,Etiquetas,
Comma-separated tags,Etiquetas separadas por comas,
Language,Idioma,
English,Inglés,
Spanish,Español,
French,Francés,
German,Alemán,
Italian,Italiano,
Portuguese,Portugués,
Other,Otro,
Version,Versión,
Document version (e.g., 1.0, 2.1),Versión del documento (ej., 1.0, 2.1),
Validity Date,Fecha de Validez,
Document expiration date (optional),Fecha de expiración del documento (opcional),
Bank Account Information,Información de la Cuenta Bancaria,
Account Details,Detalles de la Cuenta,
Account Holder,Titular de la Cuenta,
Bank Name,Nombre del Banco,
Account Number,Número de Cuenta,
Currency,Moneda,
Channel,Canal,
Opt-In Status,Estado de Opt-In,
Updated At,Actualizado En,
WhatsApp,WhatsApp,
SMS,SMS,
Web,Web,
OPT_IN,OPT_IN,
OPT_OUT,OPT_OUT,
Item Information,Información del Artículo,
Barcode,Código de Barras,
Item Name / Description,Nombre del Artículo / Descripción,
Category (Item Group),Categoría (Grupo de Artículos),
Condition,Condición,
Brand,Marca,
Created Item Information,Información del Artículo Creado,
Item Code,Código del Artículo,
Created Item,Artículo Creado,
Cheese Dashboard,Tablero de Queso,
Overview,Resumen,
Total Cheese Contacts,Total de Contactos de Queso,
Total Cheese Experiences,Total de Experiencias de Queso,
Total Cheese Routes,Total de Rutas de Queso,
Total Route Bookings,Total de Reservas de Ruta,
Total Cheese Tickets,Total de Boletos de Queso,
Pending Cheese Tickets,Boletos de Queso Pendientes,
Open Cheese Leads,Prospectos de Queso Abiertos,
Pending Cheese Deposits,Depósitos de Queso Pendientes,
Total Cheese Quotations,Total de Cotizaciones de Queso,
Trends,Tendencias,
Incoming Cheese Tickets,Boletos de Queso Entrantes,
Cheese Deposits by Status,Depósitos de Queso por Estado,
Core Docs,Documentos Principales,
Cheese Contact,Contacto de Queso,
Cheese Experience,Experiencia de Queso,
Cheese Experience Slot,Espacio de Experiencia de Queso,
Cheese Route Booking,Reserva de Ruta de Queso,
Cheese Ticket,Boleto de Queso,
Cheese Lead,Prospecto de Queso,
Cheese Deposit,Depósito de Queso,
Cheese Quotation,Cotización de Queso,
